400,0.0293
405,0.0228
410,0.0195
415,0.0130
420,0.0098
425,0.0098
430,0.0130
435,0.0163
440,0.0195
445,0.0228
450,0.0325
455,0.0553
460,0.1041
465,0.1886
470,0.2992
475,0.4195
480,0.5430
485,0.6471
490,0.7219
495,0.7772
500,0.8194
505,0.8487
510,0.8715
515,0.8942
520,0.9105
525,0.9202
530,0.9267
535,0.9300
540,0.9267
545,0.9170
550,0.9040
555,0.8910
560,0.8780
565,0.8552
570,0.8324
575,0.8032
580,0.7674
585,0.7186
590,0.6601
595,0.5951
600,0.5235
605,0.4487
610,0.3772
615,0.3187
620,0.2699
625,0.2341
630,0.2081
635,0.1886
640,0.1756
645,0.1626
650,0.1528
655,0.1496
660,0.1528
665,0.1658
670,0.1853
675,0.2081
680,0.2341
685,0.2601
690,0.2894
695,0.3154
700,0.3317
705,0.3479
710,0.3544
715,0.3544
720,0.3512
725,0.3479
730,0.3479
735,0.3544
740,0.3609
745,0.3674
750,0.3772
755,0.3870
760,0.4000
765,0.4162
770,0.4325
775,0.4422
780,0.4520
785,0.4585
790,0.4585
795,0.4617
800,0.4617
805,0.4650
810,0.4683
815,0.4683
820,0.4650
825,0.4585
830,0.4487
835,0.4357
840,0.4195
845,0.4032
850,0.3935
855,0.3805
860,0.3707
865,0.3577
870,0.3447
875,0.3317
880,0.3154
885,0.3024
890,0.2862
895,0.2731
900,0.2569
905,0.2439
910,0.2309
915,0.2211
920,0.2081
925,0.1951
930,0.1821
935,0.1658
940,0.1496
945,0.1366
950,0.1236
955,0.1171
960,0.1073
965,0.1008
970,0.0943
975,0.0878
980,0.0780
985,0.0683
990,0.0618
995,0.0520
1000,0.0455
